nickname,roi,mdd,sharpRatio,winRate
无名小兵,153.750169,3.8079823,,81.0811
Jasmine_99,153.52954671,44.509793,4.76340403,18.3333
Fight-club-Dubai,152.321645,22.225703,,57.1429
61888,151.13090853,68.20034,3.78818678,25.0
CryptoChacha,151.02359829,26.780892,,78.125
Khanasfand99,149.134748,21.929951,,50.0
PeanutPark,148.62693461,48.535288,4.74250388,57.8947
王土豆-911,148.447111,24.005557,,28.5714
Meta_wu,147.9637558,22.24466,7.38566798,73.4375
Procapls,147.89936396,77.740901,3.55729002,75.0
一三一九,147.17972798,28.087453,5.99040624,100.0
TRADERMANX,146.998246,2.6802352,,98.4
Kilimanjaru,145.589982,53.572464,,100.0
NICE-INFI,145.22625577,35.347975,4.73237848,81.1024
GrowMore17,145.03816,19.087058,,83.3333
尤里克克克克,145.02508177,22.336263,8.6539235,84.1727
战士110,144.787505,47.064768,,50.0
Dinamond_Z,144.084812,12.510768,,66.6667
带单幸运召唤师,143.488043,0.0,,96.8944
VTT,142.601954,36.602361,,78.0488
ErickZhen冲刺100万U,142.587496,0.0,,94.4444
Mr_Fantastic_,141.990698,35.143091,,63.3803
合约养家,141.924915,18.905642,,95.4955
Salahuddin2004,140.932313,14.697489,7.49328152,100.0
wolverayn,140.516421,14.340908,,100.0
决胜时刻,139.607094,0.0,,50.0
Commander_Red,138.658531,4.7411887,,66.6667
NANCE_Lee,138.532124,14.61979,,83.0189
Trader_Rony,137.352456,58.689403,,84.0336
Heripotur,137.27453,19.656006,,97.2973
Colonel_Alexandro,134.212996,36.437888,,75.0
X268Scalp,133.341272,29.645228,,74.3719
长鹏,132.91450112,10.1438,5.62097772,100.0
Faker丿,132.26461647,71.029738,3.94189132,37.5
CurlyDog,132.17629491,14.998375,7.82973433,97.1227
AslanozyarTR,131.8619296,21.205368,1.8247526,86.5979
CEOUA,131.57972,43.554251,,65.625
先来百分之一个小目标,131.576482,0.0,,94.4444
winnermessi,131.571541,32.84423,,83.9286
A3sMoet,131.184687,23.631174,,72.0
I_am_Messi,131.000065,43.003622,,50.0
KriptoKritik,130.94814124,48.466618,6.36765337,91.1392
荣耀狙击阿凯,129.881162,7.6199836,,80.0
fomobot,129.6606622,24.237222,3.32357946,81.25
Nolekusm,129.597238,4.6166809,,91.6667
财神爷爷888,128.414999,0.0,,100.0
Kenzy2024,127.90306949,60.67368,3.6129221,67.0732
nuts交易策略员,127.630937,9.5405568,,54.2857
Profit_Mike,126.69058876,12.458573,10.39078786,95.1009
LanayaFrv,125.8838568,18.845082,4.81048641,73.2143
Noname1985,125.057941,11.30049,,97.561
特奥乌昂,123.8959497,41.630388,3.91826448,83.0189
Hodler1004,123.69787782,18.440267,3.03463356,65.4383
CryptoHayro,122.13771766,53.107397,4.91986635,92.7536
Fomo2024,121.39080802,24.122765,5.20706891,77.7778
