nickname,roi,mdd,sharpRatio,winRate,tradingDays
AlphaBull,178.500092,32.356447,,96.1538,22
XMultichain_Pro,176.59067716,40.872927,4.40928113,79.8354,160
大额,175.817425,27.525449,,90.625,4
再爆仓就退圈,173.966476,0.0,,60.0,0
VTT,173.122945,36.602361,,78.0488,17
_VD_3520,172.89013392,40.100315,3.27147036,34.7826,70
CHULTOOx5,172.79051111,2.1845354,6.59972672,78.1818,132
inv0,172.666788,35.434809,,100.0,12
Procapls,172.1295823,77.740901,3.55729002,75.0,57
A3sMoet,171.789677,21.848178,,72.0,21
CryptoChacha,171.3459374,25.501678,,78.125,28
Faker丿,169.61819128,71.029738,3.94189132,37.5,35
PeanutPark,167.16115701,48.535288,4.74250388,57.8947,34
TheMonaco,165.229619,15.961368,,93.9394,9
尤里克克克克,161.9135886,22.336263,8.6539235,84.1727,35
王土豆-911,160.236212,24.005557,,28.5714,16
ToRiches,159.90222572,23.703492,8.47952929,75.0896,38
知足常乐666,159.90183807,38.590317,2.30006698,88.8889,93
KriptoKritik,159.87183704,48.466618,6.36765337,91.1392,46
juliancatano,159.45103074,45.184624,0.70582209,55.303,159
Aksay_alix,158.886729,32.306822,,82.4645,28
光头用飘柔,157.82001571,15.797524,7.34213754,81.3333,83
Khanasfand99,157.457538,21.929951,,50.0,23
61888,157.06902545,68.20034,3.78818678,25.0,34
十年币圈俩茫茫,156.509122,46.627401,,75.8816,23
勇往直前小王子,156.31261958,27.270791,2.60795963,73.1707,101
送你一朵小发发,155.98884709,80.878167,3.50947863,54.0404,34
短线趋势,154.068486,40.261015,,76.4706,17
无名小兵,153.750169,3.8079823,,81.0811,7
Dinamond_Z,151.663021,9.7944512,,66.6667,1
TRADERMANX,150.682704,2.6802352,,99.2063,11
合约养家,150.557225,18.905642,,95.4955,7
Mr_Fantastic_,149.900352,35.143091,,63.3803,20
Nolekusm,149.878231,0.0,,100.0,4
NICE-INFI,149.06579487,35.347975,4.73237848,81.1024,88
AKA所往,148.85234,100.0,-2.85685014,77.0701,39
ErickZhen冲刺100万U,148.548758,0.0,,94.6429,2
情况不对立马撤退,148.006115,12.738912,,95.8333,1
一三一九,147.17972798,28.087453,5.99040624,100.0,66
Marck3,146.8229751,43.65338,2.83351118,94.7368,129
量化飞天,146.3084,89.221733,,79.1339,15
Commander_Red,146.076238,1.780465,,66.6667,2
Kilimanjaru,145.589982,53.572464,,100.0,24
NANCE_Lee,143.484644,14.61979,,83.3333,9
wolverayn,142.465286,14.340908,,100.0,11
Colonel_Alexandro,142.122049,36.437888,,60.0,7
智能ABC,142.075097,0.0,,50.0,1
FairTradeW,140.977492,15.817573,,89.7674,13
Salahuddin2004,140.932313,14.697489,7.49328152,100.0,43
X268Scalp,140.31839,29.645228,,74.8744,22
Heripotur,140.281296,19.656006,,94.7368,22
Meta_wu,139.5331008,22.24466,7.38566798,72.7273,73
CurlyDog,139.04383794,14.998375,7.82973433,97.1612,32
dream95,137.85640221,59.349574,3.65307403,86.1111,85
Crypto-Falcon,136.9032746,25.384939,2.25996718,64.0449,120
吴培好,136.846697,36.139047,,66.6667,4
DinhNV91,135.939693,7.1206902,,79.2208,9
fat_bear,135.70699574,19.291481,6.44662664,79.3478,31
币圈轩爸,133.706859,8.0296902,,89.604,5
长鹏,132.91450112,10.1438,5.62097772,100.0,82
CryptoHayro,131.702853,53.107397,4.91986635,88.8889,36
Wch999,131.475376,71.984,,66.6667,21
I_am_Messi,131.000065,43.003622,,50.0,14
Fomo2024,130.67728271,24.122765,5.20706891,77.7778,147
先来百分之一个小目标,129.824847,0.0,,89.4737,6
fomobot,129.6606622,24.237222,3.32357946,81.25,110
cryptohabercom,129.20629391,26.9036,4.04135508,55.8824,122
Profit_Mike,128.6854439,12.458573,10.39078786,95.1009,55
Noname1985,128.607659,11.30049,,100.0,27
Hodler1004,127.9981385,18.440267,3.03463356,65.4576,110
朱菲特,127.967868,15.301228,,38.8889,10
Kenzy2024,127.90306949,60.67368,3.6129221,67.0732,76
1000U實盤挑戰,127.73525748,19.209777,5.01092462,92.4051,65
drakkar67,127.35039212,29.445573,1.05953009,8.3333,84
El-Guss,127.03953474,54.745105,6.21166418,74.6479,37
财神爷爷888,126.907493,0.0,,97.3333,8
collectcoin,126.63081038,37.201933,6.31282722,43.75,57
LanayaFrv,126.34594494,18.845082,4.81048641,73.2143,44
叶凡--,125.322654,48.766632,,75.4098,7
明天打酱油,125.062938,21.613664,,40.0,4
特奥乌昂,123.8959497,41.630388,3.91826448,83.0189,86
CEOUA,123.401013,43.554251,,65.625,9
蜗牛慢跑呀,121.65328196,42.730367,3.3475265,81.7073,38
TraderCES,121.35926464,38.495031,3.68294253,59.0909,126
Schponkk,119.913712,37.045182,,61.9048,14
西红柿的生活,119.482832,71.256858,,70.0,10
李富有,119.3527829,47.590671,3.55333739,33.3333,138
BigStar5566,119.31254281,50.003955,3.54041738,94.3524,38
exquisite-Master,118.752504,0.84494364,,88.3495,21
深圳啊宝,118.73385426,32.950461,5.64150129,36.3636,67
0xToTheMoon,118.71484788,2.8011492,6.51254925,91.9689,155
RoverJr,118.62897364,36.749878,,59.0909,30
TradeHard_or_GoHome,118.57999989,6.246249,,75.6881,28
CryptoTrader9812,117.377334,7.7182971,,83.0769,7
xx07xx,117.232797,7.6580491,,64.2857,8
ARIARDA,116.716833,36.734701,,62.8571,13
Maedre,116.67210726,24.05636,3.55792256,96.8421,77
winnermessi,115.98086,32.84423,,83.9286,25
冰糖橙178二号,115.43683201,76.462206,4.41083434,92.5714,35
子歌社,115.04584834,25.949037,3.37854692,39.8374,215
P4Provider,115.04340607,15.395458,3.77655754,93.5065,167
虎哥量化,114.78341,55.671048,,87.5,4
Cryptoxn,114.30828274,4.6521042,6.99170939,72.2628,107
BAY_NEXUS_TR,114.2049498,34.050398,1.88423113,0.0,77
btcdacong,113.70589244,22.975399,-3.78237659,74.1935,84
SuperLuckyMoney,113.63594231,37.181926,2.75893091,31.8182,85
冲动是一只蘑菇,113.627822,26.789753,,54.1667,6
我不是归零膏手,113.284654,22.702378,,82.7586,8
44042,113.11699366,11.861022,4.40954119,33.3333,127
Cassandra_OCTA,111.50769113,11.438007,5.76543257,86.8852,70
Jayzilla,111.440042,90.774834,,49.0196,14
Te_Dan,111.428452,33.00507,,91.6216,25
Nupita,109.95832109,4.2263908,5.88338872,98.3333,107
Moneyhiker,109.02708498,18.277522,1.98754138,56.8182,105
Trader_Rony,108.833184,58.689403,,83.3333,11
遲早都要跟我的單為何不一開始就跟,108.432643,7.080392,,92.3077,14
AslanozyarTR,108.41238597,24.388433,1.8247526,86.5979,32
幣圈老黃,108.32947431,43.92284,,63.3333,28
KerningCity_Huhsung,107.903952,35.173636,,53.3333,5
Hip-hop,107.64478847,25.569083,3.9201433,66.6667,97
没有做空的按键,107.602039,27.590742,,71.4286,8
CryptoPick24,107.58398863,16.954382,5.00730454,86.1538,45
2Crypto-Champion,107.219868,96.949941,3.64220601,95.923,50
Magic_Algo2,107.12714627,7.0781375,7.89635417,99.2682,85
小龟快跑1,105.659243,0.0,,73.913,2
Poti-3,105.58683749,0.0,5.72777785,84.4712,108
WannaCrazyZz,105.38014097,46.565214,3.88731009,72.5806,108
轻易不出手,105.247377,17.477,,69.0476,9
交易者九爷,105.037185,0.31291727,,71.4286,2
亿万富翁梦,105.020286,18.859593,,69.3694,18
当代利弗莫尔,104.88699151,10.445709,7.05166206,44.6809,42
王阳明-知行合一,104.22531442,16.360373,5.64356785,58.0952,170
ATaher79,104.207583,62.662023,,60.0,24
Sababa007,103.927861,24.271417,,58.3333,27
DZ-赵短鹏,103.69061814,65.822366,4.00618947,98.3051,33
MrCyrpto,103.45602,44.967778,,83.3333,8
Phuongichi,102.92404248,36.40347,2.95551552,35.2941,170
WorldCido,102.80482075,36.82554,2.89109031,71.4286,47
Huynhlongbai,102.720591,24.892032,,53.8462,2
sov_td,102.355451,13.348271,,82.2581,8
向U看齐,102.283045,61.052993,,97.8261,21
Focusprofit焦點利潤策略交易,102.22282599,8.8747632,6.09634613,59.1837,71
-BEDO-,102.162354,24.737353,,87.5,5
T-Cosmos,101.41661877,16.773649,3.23640416,78.5714,42
trade_obmen,101.043634,3.0384289,,92.5926,25
SatoshiCoinmaker,100.486038,12.673708,,67.2489,25
mj2thoo,100.22326919,69.692,3.51972335,0.0,91
松栏,100.13300516,2.0701584,7.44806317,60.8,78
BenhVienTraVe,100.08728902,24.614346,2.68319457,75.0,153
Prosecutor,99.853588,24.965744,,68.4211,8
B必赢,99.41861098,43.049285,4.50120772,83.3333,35
Nurtopu,99.37605506,37.473332,2.37511958,84.7826,84
thaieibvn,98.886995,29.616293,,50.0,92
九头鳄85,98.800493,0.0,,81.8182,1
LucidHoang,98.77616953,79.831895,,24.0,29
PermiumX_Quant,98.761261,23.89437,,57.8947,6
Tradingcommunity,98.68663497,26.852215,5.27612414,91.3043,33
奥迪A8L,98.684808,28.560419,,86.6667,9
Hekaro88,98.555104,68.556049,,99.6377,26
Roger_yr,98.535602,13.131219,,97.9036,24
肥樹懶,98.23960234,47.933891,1.85199192,100.0,103
Metatrade,97.875971,3.7841548,,87.5,10
KNOTMAIN,97.74533736,1.9175065,6.98151808,76.0774,97
AnalyticExcellence,97.45056406,26.678883,6.01305767,83.3333,35
财气通门户,97.14770199,45.168896,3.15495611,0.0,177
Salahuddin20041,96.974359,15.899956,,100.0,17
GPSv6-OrderTrade789,96.918694,71.282223,,69.7674,6
CrystalTABS,96.85492342,40.365917,3.09174855,84.6154,128
sanshiv,96.76136571,37.549615,3.58850705,91.3462,114
OMamati,96.524229,59.878006,,84.6154,12
梭了么,96.39943793,4.2276962,3.23611952,100.0,93
The_bill_is_paid,96.375198,13.304226,,100.0,16
荒-独断万古,95.42182,23.977457,,85.7143,8
P4PTI,95.17277543,51.083071,4.10043747,78.481,67
马有才,94.56972772,30.851131,3.13913714,0.0,219
火洋洋,94.34952507,72.478346,3.55554534,71.875,133
BLUE_TR,93.83316166,13.85651,12.71966009,95.4155,47
稳健投资,93.460915,20.985221,,71.4286,7
龙年牛气冲天,93.000807,9.9095676,,0.0,3
我们儿,92.965548,39.816567,,42.8571,27
蓝鸟,92.838506,0.0,,61.9048,2
禿頭老爹,92.65803977,43.060114,2.27937154,93.7864,80
HiCrypto,92.38008565,22.793761,5.12798602,84.9597,96
BDN-Bot,92.320034,5.1668768,,97.417,20
MysticTrader123,92.24756529,24.701664,3.53732727,50.0,68
Btc_Ha,91.15465168,38.767913,0.7210142,36.4109,76
陆生,91.112677,16.352663,,100.0,24
彌樂天堂,90.70496056,15.105795,4.35288764,98.6083,88
JackChang,90.37400988,10.534471,4.03240941,70.9677,117
hiro-bnb,90.3247218,30.356562,,0.0,29
Criptomarkt,89.968273,19.671001,,97.9167,26
MrOmarCrypto,89.95283882,12.098468,3.82551252,96.7742,118
区块狂人,89.847395,0.0,,50.0,0
XXDogeFatherXX,89.82769707,1.6967717,2.89547337,98.7879,113
