nickname,roi,mdd,sharpRatio,winRate,tradingDays
MaestroAI,189.2786483,41.076065,3.91837,90.4762,52
wulijj,188.971601,3.8150011,,100.0,36
6lowpan,188.447645,18.086729,,92.1053,22
MyLDSS,187.133018,0.0,,66.6667,2
UnityTrade,187.07471954,18.020672,7.89040639,90.0,44
ryseuwu,186.29109655,65.057029,0.03875949,83.3333,88
战士110,186.264857,47.064768,,66.6667,5
多空双吃梭哈怪,185.717764,41.01104,,52.9412,13
小目标一个亿亿,182.951833,15.372327,,66.6667,3
nuts交易策略员,182.835855,0.0,,52.7778,2
GrowMore17,182.688502,19.087058,,82.4561,8
MonstersSignals,181.97566219,55.376595,2.17982843,49.4505,35
康博,180.452638,10.846977,,99.7218,22
Captain_Calots,180.340652,0.0,,66.6667,0
巨覌,178.74992331,37.224357,3.00661961,53.8462,134
带单幸运召唤师,177.714726,0.0,,95.9538,7
XMultichain_Pro,176.59067716,40.872927,4.40928113,79.8354,160
Jasmine_Gemhunter88,176.3224726,40.819556,5.0665001,78.8235,165
大额,175.817425,27.525449,,90.625,4
AlphaBull,174.824743,32.356447,,96.1538,22
Jasmine_99,173.12978695,44.509793,4.76340403,18.3333,149
inv0,172.666788,35.434809,,100.0,12
CHULTOOx5,171.98759205,2.1845354,6.59972672,78.1818,132
Dinamond_Z,171.323803,2.747283,,66.6667,1
_VD_3520,169.71495976,40.100315,3.27147036,34.7826,70
十年币圈俩茫茫,169.060276,46.627401,,75.9477,23
羽狗狗,168.33960904,26.248499,5.05328287,64.0884,140
VTT,167.394481,36.602361,,78.0488,17
PeanutPark,167.20902037,48.535288,4.74250388,57.8947,34
Commander_Red,165.882458,0.0,,66.6667,2
CryptoChacha,165.5031406,25.501678,,78.125,28
AKA所往,162.580606,100.0,-2.85685014,77.3163,39
情况不对立马撤退,161.773572,7.8948244,,95.8333,1
A3sMoet,161.757788,21.848178,,72.0,21
Faker丿,161.15200323,71.029738,3.94189132,37.5,35
Aksay_alix,160.857554,32.306822,,82.4645,28
尤里克克克克,160.44862389,22.336263,8.6539235,84.1727,35
短线趋势,160.232879,40.261015,,75.7576,16
知足常乐666,159.90183807,38.590317,2.30006698,88.8889,93
