nickname,roi,mdd,sharpRatio,winRate
向阳999,230.355545,22.657037,5.59451981,72.6316
fomobot,228.18173444,51.245542,3.33926004,69.0476
Tokmatt_King_Crypto,223.198852,62.4845,3.51924044,97.1541
APoro69,220.969572,13.117279,5.78895035,63.1579
平平淡淡的过,219.491051,63.150606,,98.3333
Crypto_Money_Machine,218.90178349,54.510161,3.47520742,91.4286
Maedre,218.145561,31.96658,3.60754966,98.1013
Focusprofit焦點利潤策略交易,217.754423,8.8747632,6.12811858,63.1206
Soulastz,216.803936,76.149354,,94.6237
Magic_Algo2,216.334062,12.7155,7.82535307,99.0227
Go-taiji,215.465232,59.576619,4.16647236,60.6061
comet,214.49900383,65.991253,2.84207343,70.0
Poti-3,214.05138092,9.5736708,5.59719634,78.7611
冰糖橙178二号,213.231266,76.462206,4.35634945,93.7255
CryptoHayro,213.208609,53.107397,4.97099414,94.0789
Phuongichi,213.01401512,45.834614,2.95551552,39.2544
TTrader007,211.855386,46.742216,4.31040476,100.0
松栏,211.817899,4.9318478,7.3521936,66.9291
MrOmarCrypto,210.50232867,24.975042,3.90510754,97.6744
做空才是信仰-牛人榜,209.681788,21.637594,,44.4444
Cruiser365,209.19928144,34.522552,5.03628592,69.9443
谱绘大师,207.531364,0.0,,95.0704
0xjuly,206.74369819,21.853139,4.83556489,73.5294
I_am_Messi,206.121366,43.003622,,33.3333
The_Coin_Stalker,205.97819497,31.335197,3.80892558,94.958
B07I1T,205.55922892,52.198116,2.51283028,50.0
多空双吃梭哈怪,203.202051,41.01104,,56.25
失情,202.519049,74.703875,,72.0
6lowpan,202.248192,18.086729,,90.9091
公主请跟单,202.013128,12.57492,,56.1702
Jamesbon,201.768025,62.110153,3.60926649,78.9474
Jackthepirate,201.374032,9.6310883,,95.8333
A3sMoet,200.251909,21.848178,,75.0
Chiksan_01,199.983043,7.9913081,8.90035365,80.5914
BitStar_TradeStudio,199.756434,7.661327,,55.8824
Thisisnottuna,198.582392,32.508322,,90.5983
下雪不打伞,198.542496,56.640623,3.9255653,79.3103
邹先森,197.698293,42.514913,4.77646311,93.1034
股汇币杀,196.984749,3.8569324,,84.0
JackChang,196.49595113,26.14093,4.37223244,74.2857
TradeHard_or_GoHome,195.644592,6.246249,,76.5
南方甄选量化,195.22253329,72.891786,2.51047332,60.6195
TwitterUncleBFM,195.04588,8.3618977,,58.7629
Bitguy币老大BTC趋势策略1H,194.706248,33.826948,4.43065861,33.3333
3倍杠杆保平安,194.49371,3.0324992,,84.2105
彌樂天堂,193.448603,21.59716,4.27914007,99.1996
KNOTMAIN,193.30125927,6.7474127,6.95963609,72.5384
代号索尼克,193.225408,38.559915,,55.2632
Sebegu,192.968507,33.738767,6.66934925,52.9412
我要稳稳的幸福,192.380697,15.910494,4.48017642,72.2222
Pairacle,192.26442746,49.264252,3.32831416,85.9649
MMTradingDesk,192.107564,15.119871,,53.8462
挣钱,192.082274,40.407454,5.28757027,97.191
rongnho,191.6840357,30.666575,3.65223149,84.0391
CryptoChacha,191.455653,18.443299,,79.3651
卡西法,191.441804,12.918292,,98.9967
Ankush_deswal,191.06218218,63.782753,3.12072251,83.7209
超限交易猿,190.55410601,45.502362,2.94772493,0.0
合约全能王,190.188785,28.820663,,66.6667
Copy1Coin,190.144866,22.320238,,40.0
三上来了,189.706542,31.303815,5.44685481,60.3369
Wise-Traders,189.23504329,62.070203,3.10979188,56.5574
wulijj,188.971601,3.8150011,,100.0
渤涩沌,187.67440449,32.555469,3.11108299,93.9024
Wch999,187.477372,71.984,,66.6667
clearWwater,187.25584298,9.5432038,7.54854914,96.9871
稳稳赚钱,186.96870591,64.560853,3.02274578,67.8571
巨覌,185.15220321,37.224357,3.01801445,41.1765
MaestroAI,184.73833,41.076065,3.69866495,75.6757
Soi_Gia_Crypto,184.71617591,3.652359,4.39517412,91.5702
61888,183.738533,68.20034,4.06139101,21.4286
Lipstick_Chicken,182.872493,0.0,,100.0
大冒险家QVQ,180.871766,73.855372,4.06721977,79.3814
Poti-1,180.05035596,17.425155,5.30950393,69.8876
Nemo量化,179.18603984,46.501439,2.8112054,82.1429
Hodler1004,177.702058,56.710358,3.08551638,63.1302
Nupita,177.69698501,6.949778,5.91435103,92.6606
AlphaBull,177.098809,32.356447,,96.0
疯子啊,176.67995912,11.248233,3.19171293,54.5455
CryptoTradingBro,175.824919,27.056036,,30.0
BenhVienTraVe,174.54247564,44.92999,2.73178363,61.1111
康博,174.510295,10.846977,,99.5665
SiBattt,174.119989,58.434624,4.63060667,58.3333
Great-Perfection,173.915456,85.374705,3.65519154,64.0206
高瓴资本交易,173.90203064,54.817017,2.80052355,84.5588
Edge_Traders,173.87598672,5.9931332,1.70930146,85.3333
RoboTraderX,173.69663228,21.898536,5.79860798,71.6028
koreaKCY,173.515895,31.3954,,95.6044
王哥哥呀,172.98189932,26.921091,2.35397263,57.4468
墙头草1,172.285949,91.524097,1.05208629,72.0
Tradesignals,171.087577,46.622859,5.24077635,95.7983
AIAlpha,170.69858326,23.311893,4.32578696,97.878
梭了么,170.33479954,31.298105,3.25379076,100.0
trader_ssw,168.97458022,15.214664,1.63422987,91.1111
CryptoPick24,167.079962,28.815844,5.02596577,80.9524
CryptoCycle100X,166.353249,27.782389,4.49177089,83.7838
ThinkLab1,165.98716,28.811094,5.35896873,11.1111
Aksay_alix,165.148259,32.306822,,83.0097
RICHGURU,165.09690725,10.785646,5.54840083,99.3469
赢到最后,163.548455,50.098834,,96.2406
Marck3,163.04884205,43.65338,2.85175321,100.0
Khanasfand99,163.023432,21.929951,,50.0
跟就完了,161.78652168,67.366146,2.05869834,55.0
VTT,161.467571,36.602361,,77.5
Oklava,161.40246929,46.226084,2.13699651,39.9254
CryptoNifeCatch,161.10331294,7.3054934,8.81659354,82.8185
王土豆-911,160.347161,24.005557,,28.5714
DZ-赵短鹏,159.730697,65.822366,4.28840799,98.6842
sanshiv,159.16240102,37.549615,3.58634786,92.126
LanayaFrv,157.197827,18.845082,4.85368968,72.0588
FairTradeW,156.455169,12.314847,,89.1626
CryptoGrafi,156.031645,68.235128,3.87325496,59.5238
比特皇vip,156.023132,44.367181,3.335043,50.0
幺鸡,154.47803147,50.940804,2.26778351,54.8673
FlashCrashBot,153.97529,5.4300409,11.26848039,80.8057
AI-Dog,153.49709,14.295899,6.48481011,93.4535
Schponkk,153.386329,25.925685,,60.0
望月亭,152.31546,18.960966,,57.1429
財神-FortuneGod,152.15350747,39.174116,1.76985386,20.0
Gunner_chistmery,151.626005,60.451526,,57.1429
Miles_L,151.40588881,35.986174,3.96640201,60.0
