Date: 2023-01-05 08:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1253.38
Date: 2023-01-05 14:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1255.44
Date: 2023-01-05 20:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1247.5
Date: 2023-01-06 02:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1251.28
Date: 2023-01-06 08:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1249.72
Date: 2023-01-06 14:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1243.8
Date: 2023-01-06 20:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1263.23
Date: 2023-01-07 02:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1268.41
Date: 2023-01-07 08:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1264.33
Date: 2023-01-07 14:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1263.45
Date: 2023-01-07 20:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1262.01
Date: 2023-01-08 02:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1263.8
Date: 2023-01-08 08:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1263.7
Date: 2023-01-08 14:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1261.5
Date: 2023-01-08 20:00:00+08:00, Position Closed: 0, Balance: 5738.084952166402, PnL: 1970.3275181542986, Price: 1264.58
Date: 2023-01-08 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1264.58
Date: 2023-01-09 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1290.07
Date: 2023-01-09 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1308.2
Date: 2023-01-09 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1318.38
Date: 2023-01-09 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1341.0
Date: 2023-01-10 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1320.4
Date: 2023-01-10 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1326.99
Date: 2023-01-10 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1329.21
Date: 2023-01-10 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1332.1
Date: 2023-01-11 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1335.16
Date: 2023-01-11 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1330.76
Date: 2023-01-11 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1335.99
Date: 2023-01-11 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1327.51
Date: 2023-01-12 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1389.66
Date: 2023-01-12 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1395.83
Date: 2023-01-12 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1398.12
Date: 2023-01-12 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1428.66
Date: 2023-01-13 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1415.91
Date: 2023-01-13 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1406.89
Date: 2023-01-13 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1409.61
Date: 2023-01-13 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1416.88
Date: 2023-01-14 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1451.18
Date: 2023-01-14 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1548.8
Date: 2023-01-14 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1529.96
Date: 2023-01-14 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1529.78
Date: 2023-01-15 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1549.73
Date: 2023-01-15 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1528.57
Date: 2023-01-15 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1533.75
Date: 2023-01-15 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1551.85
Date: 2023-01-16 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1552.99
Date: 2023-01-16 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1575.46
Date: 2023-01-16 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1542.47
Date: 2023-01-16 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1561.08
Date: 2023-01-17 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1576.49
Date: 2023-01-17 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1569.97
Date: 2023-01-17 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1569.06
Date: 2023-01-17 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1579.33
Date: 2023-01-18 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1565.68
Date: 2023-01-18 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1587.13
Date: 2023-01-18 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1575.95
Date: 2023-01-18 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1542.12
Date: 2023-01-19 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1511.32
Date: 2023-01-19 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1528.22
Date: 2023-01-19 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1520.05
Date: 2023-01-19 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1529.0
Date: 2023-01-20 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1550.94
Date: 2023-01-20 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1547.46
Date: 2023-01-20 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1549.15
Date: 2023-01-20 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1591.89
Date: 2023-01-21 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1658.64
Date: 2023-01-21 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1646.09
Date: 2023-01-21 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1646.89
Date: 2023-01-21 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1655.02
Date: 2023-01-22 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1627.3
Date: 2023-01-22 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1628.03
Date: 2023-01-22 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1624.78
Date: 2023-01-22 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1657.01
Date: 2023-01-23 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1627.78
Date: 2023-01-23 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1632.29
Date: 2023-01-23 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1636.75
Date: 2023-01-23 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1629.6
Date: 2023-01-24 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1626.35
Date: 2023-01-24 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1638.4
Date: 2023-01-24 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1625.63
Date: 2023-01-24 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1617.0
Date: 2023-01-25 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1556.02
Date: 2023-01-25 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1548.55
Date: 2023-01-25 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1545.98
Date: 2023-01-25 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1548.69
Date: 2023-01-26 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1611.55
Date: 2023-01-26 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1619.67
Date: 2023-01-26 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1604.59
Date: 2023-01-26 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1591.88
Date: 2023-01-27 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1601.08
Date: 2023-01-27 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1583.25
Date: 2023-01-27 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1579.26
Date: 2023-01-27 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1605.5
Date: 2023-01-28 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1597.38
Date: 2023-01-28 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1600.3
Date: 2023-01-28 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1586.53
Date: 2023-01-28 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1576.69
Date: 2023-01-29 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1572.59
Date: 2023-01-29 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1597.3
Date: 2023-01-29 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1609.34
Date: 2023-01-29 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1617.83
Date: 2023-01-30 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1645.44
Date: 2023-01-30 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1636.75
Date: 2023-01-30 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1581.86
Date: 2023-01-30 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1581.34
Date: 2023-01-31 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1566.16
Date: 2023-01-31 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1562.19
Date: 2023-01-31 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1571.4
Date: 2023-01-31 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1592.99
Date: 2023-02-01 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1585.4
Date: 2023-02-01 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1583.12
Date: 2023-02-01 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1580.68
Date: 2023-02-01 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1571.7
Date: 2023-02-02 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1641.62
Date: 2023-02-02 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1670.2
Date: 2023-02-02 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1671.87
Date: 2023-02-02 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1680.26
Date: 2023-02-03 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1643.66
Date: 2023-02-03 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1643.87
Date: 2023-02-03 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1648.75
Date: 2023-02-03 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1660.7
Date: 2023-02-04 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1663.55
Date: 2023-02-04 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1651.51
Date: 2023-02-04 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1661.46
Date: 2023-02-04 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1681.11
Date: 2023-02-05 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1666.59
Date: 2023-02-05 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1667.12
Date: 2023-02-05 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1662.69
Date: 2023-02-05 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1618.57
Date: 2023-02-06 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1629.65
Date: 2023-02-06 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1621.9
Date: 2023-02-06 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1634.84
Date: 2023-02-06 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1647.5
Date: 2023-02-07 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1614.49
Date: 2023-02-07 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1634.49
Date: 2023-02-07 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1640.86
Date: 2023-02-07 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1671.78
Date: 2023-02-08 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1670.14
Date: 2023-02-08 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1676.02
Date: 2023-02-08 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1674.41
Date: 2023-02-08 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1657.31
Date: 2023-02-09 02:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1650.03
Date: 2023-02-09 08:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1628.44
Date: 2023-02-09 14:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1633.16
Date: 2023-02-09 20:00:00+08:00, Position: 0, Balance: 5738.084952166402, Price: 1623.97
